Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1001,S2,SKU-1,Skincare,76,371.63,01/01/2025,17,12,pending,2.46,Kolkata,3690.62,28243.88,29
1002,s5,SKU-2,Cosmetics,16,211.81,02-Jan-2025,16,19,Pass,1.12,Bangalore,1898.24,3388.96,35
1003,S4 ,SKU-3,Haircare,90,123.43,2025-01-03,18,17,Fail,5.28,Kolkata,3369.52,11108.7,35
1004, S3,SKU-4,Haircare,90,17.64,01/04/2025,16,12,pass,4.49,Kolkatta,2384.59,1587.6,28
1005,S1,SKU-5,Skincare,48,351.45,05/01/2025,12,9,PASS,1.79,Bangalore,3427.35,16869.6,21
1006,S1,SKU-6,Haircare,85,349.36,06/01/2025,12,17,Fail,3.44,Chennai,1191.58,29695.6,29
1007,S1,SKU-7,Cosmetics,39,97.03,"January 07, 2025",24,19,Failed,5.41,Chennai,1229.93,3784.17,43
1008,s5,SKU-8,Skincare,33,264.62,08/01/2025,17,8,Pass,4.92,kolkata,1289.48,8732.46,25
1009,S4,SKU-9,Cosmetics,94,29.77,09-Jan-2025,14,16,N/A,3.5,Bangalore,5669.01,2798.38,30
1010,s4,SKU-10,Cosmetics,23,64.16,"January 10, 2025",13,17,Pending,5.02,CHENNAI,4530.94,1475.68,30
1011, S1,SKU-11,Haircare,10,83.33,11/01/2025,17,6,Fail,5.45,BANGALORE,1393.1,833.3,23
1012,S5,SKU-12,Haircare,69,112.75,12/01/2025,24,15,Fail,4.22,bangalore,1535.92,7779.75,39
1013,s5,SKU-13,Haircare,34,378.42,13/01/2025,15,19,N/A,0.82,Banglore,4519.56,12866.28,34
1014, S1,SKU-14,Haircare,52,265.2,2025-01-14,11,7,Pending,2.51,Mumbai,1358.9,13790.4,18
1015,S1,SKU-15,Haircare,95,146.74,2025-01-15,13,7,fail,4.69,Bangalore,1790.09,13940.3,20
1016,S1,SKU-16,Skincare,10,280.41,16/01/2025,21,8,Pending,1.65,Mumbai,5798.41,2804.1,29
1017, S2,SKU-17,Cosmetics,19,347.9,17/01/2025,20,8,PENDING,4.65,Kolkatta,1904.19,6610.1,28
1018,S3,SKU-18,Cosmetics,58,364.36,01/18/2025,13,14,Pending,1.1,Chennai,4138.98,21132.88,27
1019,S2,SKU-19,Cosmetics,96,23.12,19/01/2025,24,15,Pass,0.73,Chennai,5882.47,2219.52,39
1020,s2,SKU-20,Cosmetics,1,150.64,20-Jan-2025,15,15,PASS,2.42,Chennai ,2558.63,150.64,30
1021,S4,SKU-21,Haircare,69,41.64,2025-01-21,15,9,Pass,0.68,chennai,596.34,2873.16,24
1022,S1,SKU-22,Cosmetics,4,128.35,2025-01-22,10,8,pass ,5.29,chennai,1842.81,513.4,18
1023,S2 ,SKU-23,Skincare,16,65.47,23/01/2025,23,15,Fail,4.63,Chennai,5069.82,1047.52,38
1024, S2,SKU-24,Skincare,24,246.23,2025-01-24,17,18,Fail,4.5,chennai,5255.35,5909.52,35
1025,S3,SKU-25,Cosmetics,80,148.28,25-Jan-2025,15,14,pending,3.65,Kolkata,4726.86,11862.4,29
